callsign,time,lat,lon,velocity,baroaltitude_m,geoaltitude_m,lon_lv95,lat_lv95
AFR53QM ,1655714870,47.476253186242054,8.543982872596153,77.90048001192599,525.78,541.02,2683320,1258973
AFR53QM ,1655714880,47.48222351074219,8.535964965820312,77.62651423835534,678.1800000000001,693.4200000000001,2682707,1259628
AFR53QM ,1655714890,47.487286066604874,8.529334435096153,77.28654371622217,800.1,830.58,2682199,1260184
AFR53QM ,1655714900,47.49298095703125,8.522438049316406,77.88688955822663,937.26,975.36,2681671,1260810
AFR53QM ,1655714910,47.49888610839844,8.516738891601562,79.40456055250269,1051.56,1089.66,2681232,1261461
AFR53QM ,1655714920,47.505157470703125,8.511520385742188,81.04738277794984,1158.24,1203.96,2680829,1262152
AFR53QM ,1655714930,47.51152038574219,8.506370544433594,82.89575088939264,1249.68,1295.4,2680432,1262855
AFR53QM ,1655714940,47.51838296146716,8.500812237079327,83.39865554265978,1363.98,1417.32,2680003,1263612
AFR53QM ,1655714950,47.52490027476165,8.495459923377403,86.3055516582376,1455.42,1516.38,2679590,1264331
AFR53QM ,1655714960,47.53202819824219,8.489822387695312,92.78978383249682,1524.0,1584.96,2679155,1265118
AFR53QM ,1655714970,47.5389404296875,8.482063293457031,96.76197969023478,1592.5800000000002,1653.5400000000002,2678560,1265878
AFR53QM ,1655714980,47.54283142089844,8.470802307128906,100.07886265167046,1645.92,1714.5,2677707,1266300
AFR53QM ,1655714990,47.54264831542969,8.457138061523438,102.46737898332586,1752.6,1821.18,2676679,1266266
AFR53QM ,1655715000,47.5389404296875,8.445259094238281,103.34308005935446,1897.38,1973.58,2675790,1265842
AFR53QM ,1655715010,47.53430382680085,8.432781512920672,105.73294831774489,2034.54,2110.74,2674857,1265315
AFR53QM ,1655715020,47.52960205078125,8.420333862304688,107.98055788819,2164.08,2240.28,2673926,1264780
AFR53QM ,1655715030,47.52507019042969,8.407905578613281,108.39641495801877,2286.0,2377.44,2672996,1264265
AFR53QM ,1655715040,47.51971435546875,8.395408630371094,109.5391295372022,2377.44,2476.5,2672063,1263658
AFR53QM ,1655715050,47.51181909593485,8.386089618389422,113.2828583096518,2461.26,2552.7000000000003,2671371,1262771
AFR53QM ,1655715060,47.50218200683594,8.381607055664062,121.98399105280824,2537.46,2636.52,2671046,1261696
AFR53QM ,1655715070,47.490544723252114,8.378131573016827,129.54390457877113,2613.6600000000003,2720.34,2670800,1260399
AFR53QM ,1655715080,47.47927908170021,8.37475116436298,135.60259832455012,2689.86,2796.54,2670560,1259143
AFR53QM ,1655715090,47.46708239539195,8.370877779447115,139.33837061644613,2743.2000000000003,2857.5000000000005,2670285,1257784
AFR53QM ,1655715100,47.454233977754235,8.366793118990383,140.67010016524023,2743.2000000000003,2857.5000000000005,2669993,1256352
AFR53QM ,1655715110,47.44212341308594,8.362861633300781,139.55472878225626,2743.2000000000003,2857.5000000000005,2669713,1255002
AFR53QM ,1655715120,47.43016647080243,8.359116774338942,140.9548396725949,2811.78,2926.0800000000004,2669446,1253669
AFR53QM ,1655715130,47.41786193847656,8.355239868164062,141.458069013305,2964.1800000000003,3086.1000000000004,2669169,1252298
AFR53QM ,1655715140,47.405181884765625,8.349952697753906,140.77823742627749,3124.2000000000003,3253.74,2668787,1250884
AFR53QM ,1655715150,47.39413503873146,8.341440054086538,145.68305646482153,3200.4,3329.94,2668159,1249648
AFR53QM ,1655715160,47.38435906878972,8.32763671875,150.50806336627545,3253.74,3383.28,2667129,1248549
AFR53QM ,1655715170,47.37730407714844,8.310127258300781,154.8553348322652,3329.94,3459.48,2665815,1247750
AFR53QM ,1655715180,47.37080383300781,8.291656494140625,156.91891303295017,3459.48,3589.02,2664428,1247012
AFR53QM ,1655715190,47.36439514160156,8.273391723632812,160.3885912546411,3558.54,3703.32,2663057,1246285
AFR53QM ,1655715200,47.35731221861758,8.253619854266827,166.37869770417785,3619.5,3771.9,2661571,1245482
AFR53QM ,1655715210,47.35046903965837,8.234534630408653,172.58426969486857,3642.36,3794.76,2660137,1244706
AFR53QM ,1655715220,47.3429741293697,8.21361835186298,176.4902844108417,3726.18,3878.58,2658565,1243857
AFR53QM ,1655715230,47.336503368313025,8.193124624399038,173.11403688168454,3947.16,4091.940000000001,2657023,1243122
AFR53QM ,1655715240,47.33262634277344,8.170463562011719,171.2665899848254,4160.52,4320.540000000001,2655315,1242675
AFR53QM ,1655715250,47.33184814453125,8.148475060096153,173.39510354388696,4305.3,4472.9400000000005,2653653,1242573
AFR53QM ,1655715260,47.3324998758607,8.125446026141827,173.67266765383891,4457.7,4632.96,2651912,1242630
AFR53QM ,1655715270,47.333524025092686,8.102769118088942,171.2410911792751,4648.2,4831.08,2650197,1242730
AFR53QM ,1655715280,47.33478093551377,8.080021784855768,168.754099678139,4846.320000000001,5036.820000000001,2648477,1242855
AFR53QM ,1655715290,47.335968017578125,8.05792236328125,169.74001627052996,4975.860000000001,5166.360000000001,2646806,1242974
AUA551  ,1655712790,47.687833107123936,8.964139498197115,143.7390046277949,2453.6400000000003,2621.28,2714530,1283025
AUA551  ,1655712800,47.68657619670286,8.94561767578125,142.15233675550377,2385.06,2552.7,2713143,1282858
AUA551  ,1655712810,47.685333251953125,8.927009582519531,138.5689077740898,2346.96,2514.6,2711748,1282694
AUA551  ,1655712820,47.6840623758607,8.909348707932692,134.52882735992395,2308.86,2468.88,2710425,1282527
AUA551  ,1655712830,47.6827589132018,8.89153113731971,130.94898930350263,2270.76,2430.78,2709090,1282357
AUA551  ,1655712840,47.68029164459745,8.874417818509615,127.07183347018636,2232.6600000000003,2385.0600000000004,2707810,1282059
AUA551  ,1655712850,47.67535710738877,8.861459585336538,124.62399263723724,2186.94,2339.34,2706847,1281493
AUA551  ,1655712860,47.66624450683594,8.849761962890625,123.18543927510252,2156.46,2308.86,2705987,1280464
